Property ,Tier 2024,Tier 2025,Tier 2026,Scoring Tier,Page Name,Page Type,Page URL,Response,Title,Title Length,Meta Description,Description Length,Target keyword (s),Secondary Keyword,H1 Tag,H2 Tag(s),New Page,New Target KW(s),Consultant,Recent Tier Change,Notes to be checked by the consultants before rescoring
Abu Dhabi,2,2,3,3,Seasonal,Other,https://www.fourseasons.com/abudhabi/seasonal/christmas/,,,,,,,,,,,,,,
Abu Dhabi,2,2,3,3,Seasonal,Other,https://www.fourseasons.com/abudhabi/seasonal/new-year/,,,,,,,,,,,,,,
Abu Dhabi,2,2,3,3,Seasonal,Other,https://www.fourseasons.com/abudhabi/seasonal/ramadan/,,,,,,,,,,,,,,
Abu Dhabi,2,2,3,3,Weddings,"Weddings, Wellness & Dining",https://www.fourseasons.com/abudhabi/weddings/venues/,200,Wedding Halls in Abu Dhabi | Four Seasons Hotel,47,Discover Abu Dhabi's blend of modernity and tradition in our wedding venues. Book now to showcase your event to perfection.,123,"Wedding Venues Abu Dhabi, Wedding Hall Abu Dhabi",,Abu Dhabi Wedding Venues,Featured Venue% Find a Venue,,,Rob,,
Alexandria,2,1,2,2,Frontpage,Home,https://www.fourseasons.com/alexandria/,200,"Alexandria, Egypt Hotel | Luxury Hotel | Four Seasons at San Stefano",68,Four Seasons Hotel Alexandria at San Stefano invites you to discover Egypt in a fresh & fashionable resort-style enclave with luxurious amenities and more.,155,hotel alexandria | luxury hotels in alexandria,,"Alexandria at San Stefano, Egypt% Alexandria at San Stefano, Egypt% Alexandria at San Stefano, Egypt% Alexandria by Four Seasons",Seaside glamour on the Egyptian riviera% Accommodations% Discover Alexandria% San Stefano Beach% #FSALEXANDRIA,,,,,
Alexandria,2,1,2,2,Accommodations,Accommodation,https://www.fourseasons.com/alexandria/accommodations/,200,"Alexandria, Egypt Hotel Suites | Four Seasons Alexandria at San Stefano",71,"Four Seasons Hotel Alexandria at San Stefano, Egypt, offers 118 luxury guest rooms and suites mixing supreme comfort with stunning Mediterranean views.",151,alexandria suites | alexandria hotel rooms,,Alexandria Accommodations,Superior City-View Room% Pool Terrace Room% Sea-View Room% Executive Suite% Two-Bedroom Deluxe Beach Suite% Two-Bedroom Beach Suite% One-Bedroom Premium Beach Suite% One-Bedroom Deluxe Beach Suite% One-Bedroom Beach Suite% Royal Suite% Presidential Suite% Deluxe Two-Bedroom Suite% Sea-View One-Bedroom Suite% Pool Terrace Suite% Three-Bedroom Sea-View Villa with Private Pool% Two-Bedroom Sea-View Villa with Private Pool% One-Bedroom Sea-View Villa with Private Pool% The Palace,,,,,
Alexandria,2,1,2,2,Dining,"Weddings, Wellness & Dining",https://www.fourseasons.com/alexandria/dining/,200,Alexandria Restaurant & Bar | Four Seasons Hotel Alexandria,59,"Four Seasons Hotel Alexandria offers a variety of culinary experiences including the freshest of fish, savoury grilled meats and a wide selection of mezzeh.",156,fine dining alexandria,,Alexandria Fine Dining% Alexandria Fine Dining% Alexandria Fine Dining,All Food and Drink% Meet the team,,,,,
Alexandria,2,1,2,2,Experiences,Experiences,https://www.fourseasons.com/alexandria/experiences/,,,,,,things to do alexandria | alexandria experiences,,,,,,,,
Alexandria,2,1,2,2,Private Pool Villas,Accommodation,https://www.fourseasons.com/alexandria/landing-pages/property/villas-with-private-pools/,,,,,,private pool villa egypt,,,,,,,,
Alexandria,2,1,2,2,Offers,Other,https://www.fourseasons.com/alexandria/offers/,200,Alexandria Vacation Packages & Hotel Offers | Four Seasons,58,Discover luxury vacation packages at Four Seasons Hotel Alexandria. Enjoy tailored offers and the Mediterranean elegance of San Stefano. Book today.,148,alexandria hotel offers | alexandria hotel packages,,Alexandria Hotel Offers & Packages,Featured Offer,,,,,
Alexandria,2,1,2,2,Photos & Videos,Other,https://www.fourseasons.com/alexandria/photos-and-videos/,200,Alexandria Luxury Hotel Photos & Videos | Four Seasons San Stefano,66,Four Seasons Hotel Alexandria at San Stefano offers a collection of photos and videos of this dynamic resort-style enclave in the heart of the Mediterranean.,157,alexandria photos | alexandria videos,,Photos & Videos,Hotel Overview% Accommodations% Dining% Service and Amenities% Discover Alexandria,,,,,
Alexandria,2,1,2,2,Ramadan,Seasonal,https://www.fourseasons.com/alexandria/seasonal/ramadan/,,,,,,ramadan alexandria,,,,,,,,
Alexandria,2,1,2,2,Spa & Wellness,"Weddings, Wellness & Dining",https://www.fourseasons.com/alexandria/spa/,200,"Spa in Alexandria, Egypt | Holistic Massages & Facials | Four Seasons",69,"The Spa at Four Seasons Hotel Alexandria at San Stefano offers an array of luxury spa services including signature treatments, massages, facials and more.",154,alexandria spa,,Alexandria Spa,HOURS% Favourites% Spa Services% Wellness Services% Relaxation Experiences,,,,,
Alexandria,2,1,2,2,Weddings,"Weddings, Wellness & Dining",https://www.fourseasons.com/alexandria/weddings/,200,Four Seasons Hotels and Resorts | Luxury Hotels | Four Seasons | Weddings,73,Weddings,8,alexandria weddings,,Alexandria Weddings% Alexandria Weddings,REAL WEDDING EXPERIENCES% WEDDING & VOW RENEWAL SERVICES,,,,,
Amaala,,,2,2,Frontpage,Homepage,https://www.fourseasons.com/amaalaredsea/,200,Four Seasons AMAALA | Luxury Red Sea Resort & Wellness Retreat,62,"Discover the new Four Seasons Resort at AMAALA, a luxury wellness destination on the Red Sea. Opening early 2026. Explore our villas, suites, and exclusive offers.",163,four seasons amaala,"wellness resort in saudi arabia, four seasons saudi arabia, luxury resorts in saudi arabia",AMAALA at Triple Bay,"OPENING EARLY 2026, Accommodations, Discover Ultra-Luxury Wellness at AMAALA, Privacy Preference Center
",,,Maurício ,,
Amaala,,,2,2,Accommodations,Accommodations,https://www.fourseasons.com/amaalaredsea/accommodations/,200,Luxury Suites & Villas | Four Seasons AMAALA at Triple Bay,58,Explore luxury accommodations at Four Seasons AMAALA. Choose from spacious suites and private pool villas with stunning Red Sea views. Book your stay.,151,luxury suites in amaala,"luxury suites saudi arabia, luxury accommodations saudi arabia",Accommodations,"Superior Room with Terrace, Deluxe Sea-View Room with Terrace, 
One-Bedroom Terrace Suite, One-Bedroom Sea-View Suite, One-Bedroom Terrace Suite with Private Pool, Four Seasons Two-Bedroom Suite with Private Pool, Four Seasons Two-Bedroom Suite with Private Pool, Presidential Suite, One-Bedroom Lagoon Villa, One-Bedroom Private Pool Villa, Four Seasons Two-Bedroom Villa with Private Pool, Four Seasons Two-Bedroom Beach Villa with Private Pool, Royal Beach Villa, Accessible Superior Room with Terrace, Accessible Deluxe Sea-View Room, Privacy Preference Center",,,Maurício ,,
Amaala,,,2,2,Dining,Dining Hub,https://www.fourseasons.com/amaalaredsea/dining/,200,Red Sea Dining | Restaurants at Four Seasons AMAALA,51,"Explore six unique, open-air dining venues at Four Seasons Amaala. Enjoy exquisite cuisine with stunning Red Sea views. Reserve your table.",141,red sea restaurants,fine dining saudi arabia,DINING,"All Food and Drink, Privacy Preference Center",,,Maurício ,,
Amaala,,,2,2,Offers,Offers,https://www.fourseasons.com/amaalaredsea/offers/,200,Offers | Four Seasons AMAALA Red Sea,36,"Discover offers and packages at Four Seasons Amaala. Enhance your Red Sea getaway with special rates, spa credits, and dining experiences. Book now. ",158,hotel offers in amaala,,Offers & Packages,"Featured Offer, Privacy Preference Center",,,Maurício ,,
Amaala,,,2,2,Spa & Wellness,Spa,https://www.fourseasons.com/amaalaredsea/spa/,200,Wellness & Fitness | Four Seasons AMAALA at Triple Bay,54,"Embark on a journey of well-being at Four Seasons Amaala. Discover our fitness facilities, wellness programs, and cultural activities. ",135,spa resort in saudi arabia,,HILYAA WELLNESS & SPA,"Relaxation Experiences, Privacy Preference Center",,,Maurício ,,
Amaala,,,2,2,Spa & Wellness,Wellness,https://www.fourseasons.com/amaalaredsea/wellness/,200,Luxury Spa & Wellness | Four Seasons AMAALA Red Sea ,51,Indulge in a world of tranquility at our luxury spa. Experience rejuvenating treatments and wellness therapies inspired by the Red Sea.,136,wellness resort in saudi arabia,,Wellness,"Your Well-Being Journey, Wellness Highlights, Privacy Preference Center",,,Maurício ,,
Amman,1,1,1,1,Frontpage,Home,https://www.fourseasons.com/amman/,200,5-Star Luxury Hotel Amman Jordan | Four Seasons Hotel Amman,59,"Four Seasons Hotel Amman offers award-winning hospitality, fine dining, luxe amenities & more in the centre of one of the Middle East’s most welcoming cities.",158,hotels in amman jordan​​ | amman luxury hotels​,hotels in amman | luxury hotels in amman jordan​,Amman% Amman% Amman% Amman by Four Seasons,Award-Winning Hospitality Surrounded by Ancient Wonders% Accommodations% Discover Amman% Discover the Best of Jordan with Four Seasons% #FSAMMAN,,,,,
Amman,1,1,1,1,Accommodations,Accommodation,https://www.fourseasons.com/amman/accommodations/,200,Amman Jordan Luxury Hotel Suites | Four Seasons Hotel Amman,59,"Four Seasons Hotel Amman offers 192 generously-sized luxury hotel rooms and suites, each with a stunning panoramic view of the city.",132,suites in amman​ | amman hotel room​,luxury suites amman​ | accommodation amman​,Amman Accommodations,Royal Two-Bedroom Suite% Presidential One-Bedroom Suite% Premier Suite% Deluxe Executive Suite% Executive Suite% Premium Room% Deluxe Room% Superior Room% By Design,,,,,
Amman,1,1,1,1,Dining,"Weddings, Wellness & Dining",https://www.fourseasons.com/amman/dining/,200,Amman Restaurants & Bars | Fine Dining | Four Seasons Hotel Amman,65,Four Seasons Hotel Amman offers a variety of innovative culinary options from the eclectic fare of La Capitale to the Levant cuisine of Olea and much more.,155,luxury restaurants in amman​ | fine dining amman​,dining in amman​ | fine dining restaurants in amman,Amman Fine Dining% Amman Fine Dining% Amman Fine Dining,All Food and Drink% Meet the Team% Events,,,,,
Amman,1,1,1,1,Experiences,Experiences,https://www.fourseasons.com/amman/experiences/,200,Four Seasons Hotels and Resorts | Luxury Hotels | Four Seasons | Experiences,76,Experiences,11,,,Experiences,Local Experiences,,,,,empty field
Amman,1,1,1,1,Offers,Other,https://www.fourseasons.com/amman/offers/,200,Amman Vacation Packages & Hotel Offers | Four Seasons,53,"Discover luxury hotel offers and vacation packages at Four Seasons Hotel Amman, including Bed and Breakfast options. Book now.",126,,,Amman Hotel Offers & Packages,Featured Offer,,,,,empty field
Amman,1,1,1,1,Photos & Videos,Other,https://www.fourseasons.com/amman/photos-and-videos/,200,"Amman, Jordan Luxury Hotel Photos & Videos | Four Seasons Amman",63,"View photos and videos of Four Seasons Hotel Amman, a five-star luxury hotel in the heart of Jordan's capital city.",115,,,Photos & Videos,Hotel Overview% Accommodations% Dining,,,,,empty field
Amman,1,1,1,1,Spa & Wellness,"Weddings, Wellness & Dining",https://www.fourseasons.com/amman/spa/,200,"Amman Spa | Massage & Facials | Four Seasons Hotel Amman, Jordan",64,"The Spa at Four Seasons Hotel Amman offers guests luxury massages, facial treatments, body treatments, salon services and more in the heart of Amman.",149,spa in amman​ | massage in amman,facial treatment in amman​,Amman Spa,HOURS% Favourites% Spa Services% Events% Relaxation Experiences,,,,,
Amman,1,1,1,1,Weddings,"Weddings, Wellness & Dining",https://www.fourseasons.com/amman/weddings/,200,Four Seasons Hotels and Resorts | Luxury Hotels | Four Seasons | Weddings,73,Weddings,8,,,Amman Weddings% Amman Weddings,Real Wedding Experiences% Wedding and Vow Renewal Services,,,,,empty field
Anguilla,3,3,3,3,Frontpage,Home,https://www.fourseasons.com/anguilla/,200,Anguilla Luxury 5-star Resort | Four Seasons Resort Anguilla,60,"Four Seasons Resort and Residences Anguilla is a seaside luxury 5-star resort offering ocean-view rooms, pristine beaches, fine dining and much more.",149,"anguilla luxury resort, anguilla 5 star resorts",,Anguilla% Anguilla% Anguilla% Anguilla by Four Seasons,A Luxury Resort in the Caribbean's Culinary Capital% Accommodations% Discover Anguilla% Sunset Sail% #FSANGUILLA,,,Katarina,,
Anguilla,3,3,3,3,Accommodations,Accommodation,https://www.fourseasons.com/anguilla/accommodations/,200,"West End Village Luxury Villas, Rooms & Residences | Four Seasons Anguilla",74,"Discover Four Seasons Resort and Residences Anguilla's 181 guest rooms, suites, residences and villas, enhanced with our luxury service and amenities.",150,"anguilla luxury villas, luxury rooms anguilla",,"Anguilla Luxury Villas, Rooms & Residences",Ocean-View Rooftop Suite% Deluxe Ocean-View One-Bedroom Suite% One-Bedroom Ocean-View Suite% Five-Bedroom Beachfront Villa% Four-Bedroom Beachfront Villa% Four-Bedroom Oceanfront Villa% Four-Bedroom Ocean-View Villa% Four-Bedroom Oceanfront Townhome% Three-Bedroom Oceanfront Townhome% Three-Bedroom Ocean-View Penthouse% Three-Bedroom Ocean-View Residence% Two-Bedroom Ocean-View Residence% One-Bedroom Ocean-View Residence% Deluxe Ocean-View Room% Ocean-View Room% Resort-View Room% Island Living,,1,Katarina,,
Anguilla,3,3,3,3,Boat Tours,Experiences,https://www.fourseasons.com/anguilla/boat-rentals-and-charters/,200,Anguilla Boat Charters & Rentals | Four Seasons Tours,53,"Discover the Caribbean’s hidden gems with our luxury boat tours and charters, designed to highlight the very best of Anguilla’s pristine waters.",144,"anguilla boat charters, anguilla boat tours",,Anguilla Boat Tours & Private Charters,included% Resort Highlight,,,Katarina,,
Anguilla,3,3,3,3,Dining,"Weddings, Wellness & Dining",https://www.fourseasons.com/anguilla/dining/,200,Anguilla Beach Restaurants & Fine Dining | Four Seasons,55,"Four Seasons Anguilla offers a variety of fine dining options for any taste or mood at our restaurants and lounges, just moments from the Caribbean Sea.",152,"fine dining anguilla, anguilla restaurants",,Anguilla Restaurants & Fine Dining% Anguilla Restaurants & Fine Dining% Anguilla Restaurants & Fine Dining,All Food and Drink% Culinary Activities% Meet the Team,,,Katarina,,
Anguilla,3,3,3,3,Itinerary,Experiences,https://www.fourseasons.com/anguilla/itinerary/,200,Anguilla Itinerary | Four Seasons Resort Anguilla,49,"Discover Anguilla with a curated 4-day itinerary featuring sunrise yoga, Moke adventures, snorkeling, spa relaxation, coastal cuisine and more.",143,anguilla itinerary,,Your Anguilla Itinerary,Experience Anguilla in 4 Days with Four Seasons% Your Itinerary,,,Katarina,,
Anguilla,3,3,3,3,Offers,Other,https://www.fourseasons.com/anguilla/offers/,200,Anguilla Resort Packages & Special Offers | Four Seasons,56,Four Seasons Resort Anguilla extends access to a variety of offers and packages – from Bed and Breakfast to Advance Purchase savings and more.,142,"anguilla resort packages, anguilla resort offers",,Anguilla Resort Offers & Packages,Featured Offer,,1,Katarina,,
Anguilla,3,3,3,3,Photos & Videos,Other,https://www.fourseasons.com/anguilla/photos-and-videos/,200,Anguilla Resort Photos & Video | Four Seasons Resort Anguilla,61,Four Seasons Resort Anguilla presents a collection of photos and videos of this luxury seaside escape overlooking the Caribbean.,128,anguilla resort photos,,Photos & Videos,Hotel Overview% Accommodations% Dining% Spa% Pools & Beaches% Activities,,,Katarina,,
Anguilla,3,3,3,3,Christmas,Seasonal,https://www.fourseasons.com/anguilla/seasonal/christmas/,#N/A,#N/A,#N/A,#N/A,#N/A,christmas in anguilla,,#N/A,#N/A,,,Katarina,,
Anguilla,3,3,3,3,Family,Services & Amenities,https://www.fourseasons.com/anguilla/services-and-amenities/family/,,,,,,"anguilla family resorts, anguilla family vacation",,,,,,Katarina,,
Anguilla,3,3,3,3,Spa & Wellness,"Weddings, Wellness & Dining",https://www.fourseasons.com/anguilla/spa/,200,Anguilla Spa | Facials & Massages| Four Seasons Resort Anguilla,63,"Relax and rejuvenate at our Anguilla Spa, offering luxury facials and massages in a serene beachfront setting overlooking the Caribbean Sea.",140,"anguilla spa, anguilla spa resort",,Anguilla Spa,Hours% Favourites% Spa Services% Relaxation Experiences,,,Katarina,,
Anguilla,3,3,3,3,Villas & Residences,Villas & Residences,https://www.fourseasons.com/anguilla/villa-residence-rentals/,200,Anguilla Luxury Vacation Rentals | Villas & Residences | Retreats,65,"Embrace Caribbean island living with our Anguilla luxury villa rentals, offering private pools and beachfront access for your perfect retreat.",142,"anguilla luxury villas, anguilla villas",anguilla villa rentals,Villa & Residence Rentals% Villa & Residence Rentals% Explore accommodations,included% An elevated vacation experience,,,Katarina,,
Anguilla,3,3,3,3,Weddings,"Weddings, Wellness & Dining",https://www.fourseasons.com/anguilla/weddings/,200,Anguilla Caribbean Wedding | Four Seasons Resort Anguilla,57,Experience Four Seasons Resort and Residences Anguilla as your idyllic wedding set in the tropical Caribbean. Make your dream wedding a reality.,144,"anguilla wedding, anguilla wedding resorts",,Anguilla Weddings% Anguilla Weddings,REAL WEDDING EXPERIENCES IN ANGUILLA% WEDDING AND VOW RENEWAL SERVICES,,,Katarina,,
Athens,3,3,3,3,Frontpage,Home,https://www.fourseasons.com/athens/,200,5-Star Luxury Hotel & Beach Resort in Athens | Four Seasons Astir Palace,72,"Four Seasons Astir Palace is a 5-star hotel and luxury beach resort near Athens in the seaside town of Vouliagmeni, along the Athens Riviera, 30 minutes from Athens’ city centre.",178,"athens beach resort,luxury hotel athens","luxury resort athens,5-star hotels in athens,athens beach hotels,vouliagmeni hotels,Athens Riviera hotels",Astir Palace Hotel Athens% Astir Palace Hotel Athens% Astir Palace Hotel Athens% Athens By Four Seasons,Five-Star Luxury Athens Hotel & Beach Resort% Accommodations% Discover Athens% A Proudly Greek Luxury Hotel Hideaway% #FSATHENS,,,Darren,,
Athens,3,3,3,3,Accommodations,Accommodation,https://www.fourseasons.com/athens/accommodations/,200,Athens Luxury Suites | Athens Beach Resort | Four Seasons,57,Discover our luxury suites in Vouliagmeni on the Athens beachfront. Accommodations include sea-view rooms and beach access bungalows at Four Seasons Athens.,156,"Athens Luxury Suites
",athens luxury hotel suites,Luxury Hotel Rooms and Suites in Athens,Arion Pine-View Room% Arion Sea-View Room% Arion Pine-View Executive Suite% Arion Sea-View Executive Suite% Arion Sea-View One-Bedroom Suite% Nafsika Sea-View Room% Nafsika Sea-View Garden Room% Nafsika Sea-View One-Bedroom Suite% Nafsika Sea-View Garden Suite with Pool% Garden-View Bungalow% Sea-View Bungalow% Sea-View Bungalow with Pool% Sea-View Bungalow Suite% Garden-View Bungalow Suite with Pool% Sea-View Bungalow Suite with Pool% Nafsika Sea-View Terrace Suite with Pool% Nafsika Ambassador Suite% Arion Panoramic Sea-View Suite% Arion Presidential Suite% Arion Royal Suite% Arion Riviera Suite% Choose Your Perfect Setting% Views From Our Guests,,,Darren,,
Athens,3,3,3,3,Dining,"Weddings, Wellness & Dining",https://www.fourseasons.com/athens/dining/,200,Restaurants with Views in Athens | Fine Dining at Four Seasons Astir Palace,75,Enjoy unforgettable fine dining at Four Seasons Athens – from restaurants with sea views and beachfront tavernas to cocktail bars on the Athenian Riviera.,154,athens fine dining,athens restaurants,Athens Fine Dining% Athens Fine Dining% Athens Fine Dining,Athens Restaurants with Views% All Food and Drink% Culinary Activities% Views from Our Guests,,,Darren,,
Athens,3,3,3,3,Brunch,"Weddings, Wellness & Dining",https://www.fourseasons.com/athens/dining/restaurants/brunch/,200,Brunch in Athens with Riviera Views | Luxury Restaurant at Four Seasons Athens,78,Discover a unique brunch in Athens with Italian-inspired dishes and Athenian Riviera views at our luxury Four Seasons restaurant.,129,"Brunch in athens,brunch athens","sunday brunch athens,brunch in vouliagmeni",Brunch in Athens with Riviera Views,Hours% Menu% Brunch Menu Highlights% The Team% More Dining Options,1,,Darren,,
Athens,3,3,3,3,Experiences,Experiences,https://www.fourseasons.com/athens/experiences/,200,Private Tours in Athens | Exclusive Full-Day Experiences | Four Seasons,71,We arrange everything tailored to your needs as you explore iconic sites at your own pace. Half-day or full-day private Athens tours can include private transport and catering as required.,188,Private tours Athens,athens full day private tour,Experiences,Aquatic Escapades% Local Experiences% Airborne Adventures% Wellness Activities% Facilities & Services,,,Darren,,
Athens,3,3,3,3,Island Tours,Other,https://www.fourseasons.com/athens/greek-island-tours/,200,Greek Island Tours from Athens | Luxury Boat Trips by Four Seasons,66,"Embark on a luxury Greek island tour from Athens with Four Seasons. Discover idyllic islands, pristine beaches, and exclusive boat trips with gourmet dining and personalized service.",182,"Athens boat tours,boat trips athens","Boat Tours from Athens,Greek Island Tours|",Greek Island Tours,included% Best Greek Islands Near Athens% Coastal Athenian Landmarks & Hidden Gem Beaches% Luxury Amenities,1,,Darren,,
Athens,3,3,3,3,Vouliagmeni,Other,https://www.fourseasons.com/athens/landing-pages/property/vouliagmeni/,200,Things To Do in Vouliagmeni from a Local | The Athenian Riviera,63,"Vouliagmeni is a luxurious peninsula on the Athens Riviera. From private beaches and bars to luxury shopping, let our local Concierge show you the real Vouliagmeni.",164,"things to do in vouliagmeni,vouliagmeni","Faskomilia Hill,lake vouliagmeni",Things to do in Vouliagmeni,,1,,Darren,,
Athens,3,3,3,3,Offers,Other,https://www.fourseasons.com/athens/offers/,200,Athens Hotel Packages & Offers | Four Seasons Astir Palace Athens,65,Discover our range of Athens hotel packages and offers for any time of year from Four Seasons Astir Palace. Our guaranteed Best Rate.,133,"athens hotel packages,athens hotel offers",,Athens Hotel Offers & Packages,Featured Offer,,,Darren,,
Athens,3,3,3,3,Photos & Videos,Other,https://www.fourseasons.com/athens/photos-and-videos/,200,Four Seasons Hotels and Resorts | Luxury Hotels | Four Seasons | Photos and Videos,82,Photos and Videos,17,four seasons hotel photos,,,Hotel Overview% Accommodations% Dining,,,Darren,,
Athens,3,3,3,3,Private Pool Suite,Other,https://www.fourseasons.com/athens/private-pool-suites/,200,Luxury Hotel in Greece with Private Pool in Room – A Tranquil Escape at Four Seasons Athens,91,Luxury Hotel in Greece with Private Pool in Room – A Tranquil Escape at Four Seasons Athens,91,private pool greece,"Hotel in Greece with Private Pool,athens hotel private pool, private pool suites, Private Pool in Room",Discover Luxury Private Pool Suites in Greece at Four Seasons Athens,Exclusive Private Pool Suites% Private Pool Suite Amenities% More Amenities% Suite Highlights% Bed & Bath% Entertainment & Technology% Services & Amenities% Experiences at Four Seasons Hotel Athens% Our Hotel Location,1,,,,
Athens,3,3,3,3,Beaches,Other,https://www.fourseasons.com/athens/services-and-amenities/athens-beaches/,200,Visit the Best Beaches Near Athens – Discover the Athens Riviera | Four Seasons Guide,85,"Discover the best beaches near Athens with Four Seasons. From Blue Flag shores to private beach clubs, plan your perfect coastal day trip along the Athens Riviera.",163,"beaches near athens,athens beaches",beaches close to athens,The Most Beautiful Beaches Close to Athens,The Best Beaches Along the Athens Riviera% Choose your ideal beach% Glyfada Beach% Lake Vouliagmeni% Krabo Beach% Akti Vouliagmenis Beach% Kavouri Beach% Lagonisi Beach% Astir Beach% Craft Your Perfect Beach Day,1,,Darren,,
